X,Y,Name,description,HYPERLINK,DESCRIPTION2,POSTALCODE,KEEPERNAME,TOTALROOMS,ADDRESS,INC_CRC,FMEL_UPD_D,NAME2,DESCRIPTION3,NAME3
103.857271555227,1.31503287812628,Asphodel Inn,,asphoinn@yahoo.com.sg,,218702,Ooi Teck Hin,55,380 Race Course Road (Level 2),2AA2960984B231E6,20200728214024,,,
103.856934787679,1.29800182513386,Atlantis Pods @ Bugis,,bugis@atlantispods.com,,188091,Wong Mei Ling Judy,6,"2 TAN QUEE LAN STREET, # 02-00",8635C255C0914C61,20200728214024,,,
103.855776386801,1.29837018983763,Backpacker Cozy Corner Guesthouse,,happyjohn@cozycornerguest.com,,188736,Judy Wong Mei Ling,15,490 North Bridge Road (Level 2),9F6A6D4F4413586F,20200728214024,,,
103.847825737272,1.3263318785208,Balestier Hotel,,balestier_hotel@yahoo.com,,329842,Ang Ying Soon,42,471 Balestier Road,FDA67B66B7F7BE8C,20200728214024,,,
103.81654785488,1.25923773923788,Beach Villas,,enquires@rwsentosa.com,,098135,Ong Poi Hwa,35,20 Sentosa Gateway,92A0A0E9F47E5D1A,20200728214024,,,
103.84538117333,1.28384606770696,Beary Best! Hostel,,enquiry@abearygoodhostel.com,,058332,"TAN CHIEH HUI, TRACY",11,18 Upper Cross Street,3C184E1CC8835C07,20200728214024,,,
103.859394682355,1.30120414903648,Beary Best! Hostel Kampong Glam,,BearyKG@abearygoodhostel.com,,199761,"TEO FA YU, ALVIN",4,"64 ARAB STREET, # 00-00",6170F48FBBAF69F5,20200728214024,,,
103.845477809189,1.28379359689987,Beary Nice Hostel,,,,058330,Chia Kwee Beng,4,"14 UPPER CROSS STREET, # 1- BACKPACKER'S INN CHINATOWN 3",F6A071BF91FB5A81,20200728214024,,,
103.828399493406,1.31394109858619,Mercure Singapore on Stevens,,H9561-gm@accor.com,,257878,"Wong Weng Fatt, Philip",518,"28 STEVENS ROAD, # 02-01",736907AA43D86B51,20200728214024,,,
103.881747206923,1.31323581232938,New Cathay Hotel (Geylang),,newcathayhotel@yahoo.com.sg,,389403,Chan Albert Graeme,53,443A Geylang Road,9A3172982DFC7BE1,20200728214024,,,
103.844782388216,1.32003004588439,"Oasia Hotel Novena, Singapore",,frontofc.ohs@fareast.com.sg,,307470,Roy Liang Ming Kai,428,8 Sinaran Drive,80CA87F821CB9D01,20200728214024,,,
103.860633791231,1.3123170980015,Parc Sovereign Hotel - Tyrwhitt,,contact@parcsovereign.com,,207569,Richard Cheong Su Tan,270,165 Tyrwhitt Road,9E4DECE85FA08CDB,20200728214024,,,
103.856493969017,1.29720601629426,Park View Hotel,,parkview@parkview.com.sg,,189692,Chua Seok Chuan,88,81 Beach Road,150AA225E00627AE,20200728214024,,,
103.94704995457,1.33160106900625,Q Loft Hotels@Bedok,,mgtqloft@gmail.com,,469546,TAN TIAN MEI,12,"357A BEDOK ROAD, # 1-",D659C4A4FD803828,20200728214024,,,
103.850795186495,1.27830729144643,The Westin Singapore,,westin.singapore@westin.com,,018961,Yan Tongji,305,12 Marina View   Asia Square Tower 2,9970EFDF0FFE0F6A,20200728214024,,,
103.900582467694,1.31154791813894,Venue Hotel The Lily,,venuelily@venuehotel.sg,,427495,Federico Asaro,84,238  Joo Chiat Road,2B19BCD44BA52791,20200728214024,,,
103.841542357757,1.28061922396397,KeSa House,,,,089158,SIAH WEI QIANG,60,"55 KEONG SAIK ROAD, # 01-02",FD57F84BE2EA9FA2,20200728214024,,,
103.854022759534,1.30473915824794,Snooze Inn @ Dunlop Street,,,,209356,Tsai Shi Shyuan,15,28 DUNLOP STREET KAWAN HOSTEL,0E17FCCF246EDBE6,20190620111820,,,
103.853135267954,1.30108678628959,South East Asia Hotel,,seahotel@singnet.com.sg,,187965,Huang Wen Hwa,51,190 Waterloo Street,79F31324BCC1C495,20190620111820,,,
103.900168104154,1.31220268168059,Betel Box Backpackers Hostel,,info@betelbox.com,,427471,Ronny Lee Tiang Luok,6,200 Joo Chiat Road,C35238BC7ACBD00F,20200728214024,,,
103.860152247876,1.3118099599849,Blanc Inn,,blancinn@gmail.com,,207564,Chow Keng Hai,4,151 Tyrwhitt Road,0A0416C2033030B2,20200728214024,,,
103.844304195694,1.28445774430707,Bliss Hotel Singapore,,reservation@blisshotel.com.sg,,058353,Teo Pei Han Janine,42,62 Upper Cross Street,2B14BC1354DC0FF2,20200728214024,,,
103.85790553137,1.30982597177326,Blue Jazz Hostel,,,,208916,Teo Peihan Janine,5,243 JALAN BESAR,5D64B51AB7A82D5A,20200728214024,,,
103.858436453128,1.30258711150837,Breeze Inn,,breezeinn8@gmail.com,,199135,Tan Say Kiong,16,3 JALAN PINANG ADAMSON INN,0B1AF955D3EB6605,20200728214024,,,
103.878864871245,1.31351593312261,Bright Star Hotel,,brightstarhotel@yahoo.com.sg,,388575,Iek Tong Wah,86,20 Lorong 17 Geylang,CB853F544F65536D,20200728214024,,,
103.853224451953,1.30917900212984,Broadway Hotel,,broadwayhotelsingapore@yahoo.com,,218067,Kee Khek Thai,65,195 Serangoon Road,6FA883FFE768AC84,20200728214024,,,
103.880423593148,1.31221720783339,BudgetOne Hotel,,,,398793,Wang CuiRong,49,10 LORONG 18 GEYLANG BUDGETONE HOTEL,A49D496D883C2A70,20200728214024,,,
103.841824512271,1.28063133791161,BUTTERNUTTREE HOTEL,,,,088392,LIN YI YUN,55,22 TECK LIM ROAD PARK 22 HOTEL CHINATOWN,41FED2B8F4CA5594,20200728214024,,,
103.954974045383,1.33674234821614,Cameron Hotel,,info@cameronhotel.com.sg,,486917,Pauline Seah Swee Lian,19,393F Upper Changi Road,95B50FAFDA6E427A,20200728214024,,,
