"name","lon","lat"
"Singapore Zoo",103.793023,1.4043485
"Merlion Park",103.8545014,1.2867892
"Jurong Bird Park ",103.7064417,1.3187065
"Singapore Night Safari",103.7880606,1.4021872
"Singapore Flyer",103.8631368,1.2892988
"Duck Tour",103.857024,1.2941248
"Singapore History Museum",103.8485095,1.2966147
"Gardens by the Bay",103.8636132,1.2815683
"Sentosa Island",103.8303209,1.2494041
"Buddha Tooth Relic Temple and Museum",103.8442397,1.2815155
"Thian Hock Keng Temple",103.8476295,1.2809351
"St. Andrew's Cathedral",103.8522543,1.2923914
"Sri Thendayuthapani Temple",103.843047,1.2943222
"Helix Bridge",103.8605974,1.2876834
"Yueh Hai Ching Temple (Temple of Love)",103.8492514,1.2846717
"Peranakan Museum ",103.8490391,1.2943669
"Istana",103.8430358,1.3039454
"Malay Heritage Centre",103.8599265,1.3027993
"Cathedral of the Good Shepherd",103.8512409,1.2960691
"Temple of 1000 Lights Sakya Muni Buddha Gaya",103.8569444,1.3147222
"River Safari",103.7906876,1.403186
"Civilian War Memorial ",103.8546368,1.2932326
"Red Dot Design Museum",103.8563051,1.2801563
"Memories at Old Ford Factory",103.769295,1.352549
"Flower dome ",103.8646975,1.2846292
"Reflections at Bukit Chandu",103.794073,1.279187
"Kuan Yin Thong Hood Cho Temple",103.8529981,1.3008609
"Singapore Discovery Centre",103.6789432,1.3326904
"Science Centre Singapore",103.7356443,1.3331687
"Tiger Brewery",103.6479797,1.3365276
"Raffles Landing Site",103.8507644,1.287706
"Bollywood Veggies ",103.7168531,1.4183191
"Singapore Philatelic Museum",103.8486632,1.2928284
"Singapore Turf Club",103.7622666,1.4219327
"Singapore Cricket Club",103.8520304,1.2888541
"Marina Barrage ",103.8711747,1.2805282
"Singapore Art Museum",103.8510615,1.2973072
"Henderson Waves",103.8153941,1.2760208
"Padang",103.8530438,1.2905564
"Sri Mariamman Temple",103.8451462,1.2826867
"Baba House",103.8373551,1.277235
"Armenian Church",103.8492583,1.2931667
"Urban Fairways",103.8476215,1.2777366
"ArtScience Museum at Marina Bay Sands",103.8592663,1.2862738
"Central Fire Station",103.8493042,1.292291
"Singapore City Gallery",103.8452304,1.2796865
"Kusu Island",103.8611194,1.2232435
"Downtown East",103.9546233,1.3776279
"Cavenagh Bridge",103.8523588,1.2865459
"Sri Veeramakaliamman Temple ",103.8522188,1.3080029
"Hort Park ",103.8018322,1.2787362
"Labrador Park ",103.8033226,1.2659383
"Haw Par Villa",103.7824933,1.2842878
"Pasir Ris Park",103.9517213,1.3725402
"Parkview Square",103.8577305,1.300164
"Esplanade Park",103.8538653,1.289901
"Chinese and Japanese Gardens",103.7311111,1.3352778
"Fort Canning Park ",103.8466283,1.2938682
"Mount Faber",103.8174964,1.2737864
"Omni Theatre and Planetarium",103.7356733,1.3340889
"Sultan Mosque",103.8589636,1.3022854
"Jurong East Swimming Complex",103.7293471,1.3461702
"Changi Chapel and Museum",103.97332,1.362294
"S E A Aquarium",103.8204289,1.2582458
"Kong Meng San Phor Kark See Temple ",103.835922,1.3611142
"Sun Yat Sen Nanyang Memorial Hall ",103.8471167,1.3280736
"Adventure Cove Waterpark ",103.8186627,1.2587902
"Asian Civilisations Museum ",103.8513861,1.2874969
"Yixing Xuan Teahouse ",103.8438256,1.27854
"Clarke Quay",103.8464742,1.2906024
"Wild Wild Wet ",103.9543429,1.3777748
"Sri Srinivasa Perumal Temple ",103.8560729,1.3132706
"Chijmes ",103.8521957,1.2951699
"National Orchid Garden ",103.8162553,1.3152057
"The Southern Ridges ",103.8029949,1.2801016
"Marina Bay Sands Skypark ",103.8610725,1.2854347
"City Hall ",103.851743,1.29068
"Mint Museum of Toys ",103.8546329,1.2963208
"Ode To Art Contemporary ",103.8537798,1.293672
"Marina Bay Golf Course ",103.8713423,1.2930563
"Bukit Timah Nature Reserve ",103.7769454,1.3540562
"MacRitchie Nature Trail ",103.8348653,1.3419705
"Kranji War Memorial ",103.7579339,1.4190231
"Singapore Botanic Gardens ",103.8159136,1.3138397
"Chinatown Heritage Centre ",103.844404,1.2834607
"China Square Central",103.8474967,1.283775
"Universal Studios",103.8238084,1.2540421
