"name","lon","lat"
"City Gate",103.8622714,1.3022965
"Martin Modern",103.8380955,1.2934572
"The Vales",103.8938701,1.3966179
"Wallich Residence At Tanjong Pagar Centre",103.8454598,1.2771773
"Corals At Keppel Bay",103.816962,1.265951
"Eco Sanctuary",103.7760801,1.3706763
"Leedon Residence",103.8019041,1.3141819
"D'Leedon",103.803616,1.3154317
"Reflections At Keppel Bay",103.8106976,1.2668201
"15 Holland Hill",103.80048,1.310617
"1953@Tessensohn",103.8576937,1.3166095
"33 RESIDENCES",103.836387,1.4274314
"35 Gilstead",103.8388018,1.3177352
"Affinity At Serangoon",103.8733947,1.3662314
"Amber Park",103.8995625,1.3002557
"Arena Residences",103.8807207,1.3094598
"Avenue South Residence",103.830159,1.2764824
"Boulevard 88",103.8277318,1.3045264
"Coastline Residences",103.899036,1.2990424
"Cuscaden Reserve",103.8245364,1.3040418
"Dairy Farm Residences",103.7686154,1.3638877
"Dalvey Haus",103.8249852,1.3159282
"Dunearn 386",103.8118,1.324529
"Forest Woods",103.8764545,1.3510383
"Forett@Bukit Timah",103.767626,1.340053
"Fourth Avenue Residences",103.797455,1.3299033
"Fyve Derbyshire",103.8457937,1.316306
"Infini at East Coast",103.9113477,1.3092354
"Jui Residences",103.866528,1.326262
"Juniper Hill",103.8325675,1.3163851
"Kent Ridge Hill Residences",103.7899429,1.281106
"Kopar At Newton",103.84123,1.3128446
"Lattice One",103.8282022,1.3729142
"Leedon Green",103.8022928,1.3145179
"Margaret Ville",103.8030285,1.2992636
"Mayfair Modern",103.7820122,1.3329234
"Meyer Mansion",103.8910501,1.2964336
"Meyerhouse",103.893862,1.298202
"Midtown Bay",103.8576523,1.297909
"Noma",103.847344,1.2804726
"Nyon",103.874459,1.3094459
"One Draycott",103.830757,1.310111
"One Holland Village Residences",103.7934423,1.3120655
"One Meyer",103.8862567,1.2981727
"One Pearl Bank",103.8399212,1.2830579
"Parc Canberra",103.8284861,1.4470816
"Parc Clematis",103.7597373,1.3159318
"Parc Esta",103.9016311,1.3185499
"Parksuites",103.7834407,1.3171071
"Penrose",103.8800178,1.3186422
"PETIT JERVOIS",103.823298,1.2929994
"Piermont Grand",103.8977163,1.4098552
"Pullman Residences Newton",103.8387243,1.3140738
"Riviere",103.8350032,1.2914187
"Royalgreen",103.7946047,1.3308745
"RV Altitude",103.8350918,1.2961256
"Seaside Residences",103.9278464,1.3076815
"Seraya Residences",103.900021,1.306441
"Sixteen35 Residences",103.8885694,1.3153138
"Sky Everton",103.8380991,1.2765553
"Sloane Residences",103.8326032,1.3153357
"The Antares",103.8917548,1.3334818
"The Avenir",103.8369703,1.2946029
"The Garden Residences",103.8705078,1.3666044
"The Gazania",103.879198,1.344881
"The Hyde",103.8308766,1.3143003
"The Lilium",103.8809981,1.345428
"The M",103.8560266,1.2973398
"The Tapestry",103.9289351,1.3533384
"The Verandah Residences",103.7852017,1.2795865
"Twin Vew",103.7522753,1.3197645
"Uptown @ Farrer",103.8555577,1.312709
"Urban Treasures",103.9058048,1.3295359
"Van Holland",103.795042,1.312466
"Verdale",103.7691906,1.3453747
"Verticus",103.8508373,1.3265405
"View at Kismis",103.7615931,1.3569664
"Whistler Grand",103.7513139,1.3165302
"Wilshire Residences",103.8045775,1.3128841
"The Linq @ Beauty World",103.7763447,1.3409604
"The Landmark",103.8578797,1.3023045
"Grange 1866",103.8290368,1.2997566
"Cairnhill 16",103.8379275,1.3085599
"Jervois Prive",103.8183393,1.2952068
"The Atelier",103.8416272,1.3127907
"Sunstone Hill",103.9091282,1.3260001
"10 Evelyn",103.8402834,1.3161038
"The Addition",103.8672118,1.3307749
"Amber 45",103.901821,1.302636
"Queens Peak",103.806878,1.2945024
"38 Jervois",103.822762,1.2941741
"Gem Residences",103.8510668,1.3394315
"Parc Riviera",103.7528387,1.3207162
"Park Place Residences At Plq",103.8929448,1.3166948
"Sturdee Residences",103.8588965,1.313122
"The Alps Residences",103.9297365,1.3553163
"The Clement Canopy",103.7684933,1.3073069
"8 Saint Thomas",103.8363215,1.2960965
"Highline Residences",103.8298123,1.2851558
"Kallang Riverside",103.8682849,1.3070353
"Kingsford Waterbay",103.9033261,1.3748577
"Neem Tree",103.8512643,1.3273984
"Sophia Hills",103.8466648,1.3014663
"The Poiz Residences",103.868018,1.3313817
"3 Orchard By-The-Park",103.8247694,1.3032505
"6 Derbyshire",103.8460141,1.3158526
"Commonwealth Towers",103.805899,1.2957276
"Duo Residences",103.8585649,1.3001026
"Hillion Residences",103.7641767,1.3785935
"Lakeville",103.725291,1.3456281
"Marina One Residences",103.8536086,1.2773465
"New Futura",103.8340078,1.2985307
"Sims Urban Oasis",103.8807642,1.3190239
"The Crest",103.8198784,1.2928729
"The Trilinq",103.7620265,1.3185274
"V On Shenton",103.8491216,1.2770341
"26 Newton",103.8415977,1.3156897
"Forte Suites",103.8518538,1.3178
"Fulcrum",103.884906,1.298745
"Gramercy Park",103.8265543,1.2983473
"Hillsta",103.7566142,1.3761225
"Liv On Sophia",103.8480048,1.3011037
"Lloyd Sixtyfive",103.8390159,1.2973148
"Marine Blue",103.9051304,1.3036225
"Robinson Suites",103.8498409,1.2810504
"Sky Vue",103.8507812,1.3524626
"South Beach Residences",103.8557465,1.2940548
"The Line @ Tanjong Rhu",103.8847976,1.2983426
"8 Farrer Suites",103.8547637,1.3148311
"Bartley Residences",103.881214,1.3429598
"OUE Twin Peaks",103.8337341,1.2994363
"Sky Habitat",103.8518105,1.3523267
"The Luxurie",103.8963964,1.3890703
"The Nassim",103.8225536,1.3063658
"The Sorrento",103.7662528,1.2956947
"Arc at Tampines",103.9286312,1.3503016
"Concourse Skyline",103.8619673,1.3005591
"Riverside Melodies",103.8644271,1.3274381
"Sculptura Ardmore",103.8299749,1.3091003
"SilverSea",103.901739,1.299631
