"name","lon","lat"
"HDB Block 1, BEACH RD",103.8644858,1.3043111
"HDB Block 1, BEDOK STH AVE 1",103.9333467,1.3213137
"HDB Block 1, CANTONMENT RD",103.8412344,1.2757638
"HDB Block 1, CHAI CHEE RD",103.9227585,1.3241556
"HDB Block 1, CHANGI VILLAGE RD",103.9350271,1.3241585
"HDB Block 1, DELTA AVE",103.8284741,1.2921124
"HDB Block 1, DOVER RD",103.782884,1.303137
"HDB Block 1, EUNOS CRES",103.9024811,1.3207892
"HDB Block 1, EVERTON PK",103.8400617,1.2775002
"HDB Block 1, GEYLANG SERAI",103.897547,1.3173789
"HDB Block 1, GHIM MOH RD",103.787272,1.3129794
"HDB Block 1, HAIG RD",103.8975402,1.3111376
"HDB Block 1, HOLLAND CL",103.7958743,1.3080563
"HDB Block 1, HOUGANG AVE 3",103.8929442,1.3641651
"HDB Block 1, JLN BT MERAH",103.8080991,1.2865786
"HDB Block 1, JLN KUKOH",103.839817,1.288274
"HDB Block 1, JOO CHIAT RD",103.8985137,1.3152297
"HDB Block 1, KG KAYU RD",103.8843664,1.3032219
"HDB Block 1, LOR 7 TOA PAYOH",103.853598,1.33944
"HDB Block 1, LOR LEW LIAN",103.875414,1.350909
"HDB Block 1, MARINE TER",103.9186166,1.3049582
"HDB Block 1, MARSILING DR",103.7757457,1.4406289
"HDB Block 1, MAUDE RD",103.8590139,1.3076734
"HDB Block 1, PINE CL",103.8831066,1.3080944
"HDB Block 1, QUEEN'S RD",103.806668,1.31755
"HDB Block 1, ST. GEORGE'S RD",103.8614956,1.323502
"HDB Block 1, TAMPINES WALK",103.9408009,1.3507579
"HDB Block 1, TECK WHYE AVE",103.751626,1.382546
"HDB Block 1, TELOK BLANGAH CRES",103.8194526,1.2771949
"HDB Block 1, TG PAGAR PLAZA",103.8425444,1.2756173
"HDB Block 1, THOMSON RD",103.787272,1.3129794
"HDB Block 1, TOH YI DR",103.7746389,1.339559
"HDB Block 1, UPP ALJUNIED LANE",103.8797696,1.3340626
"HDB Block 1, WOODLANDS IND PK E3",103.7921584,1.4455524
"HDB Block 1A, C'WEALTH DR",103.7971121,1.3018312
"HDB Block 1A, CANTONMENT RD",103.8412344,1.2757638
"HDB Block 1A, EUNOS CRES",103.9024811,1.3207892
"HDB Block 1A, EVERTON PK",103.8386827,1.2772704
"HDB Block 1A, TELOK BLANGAH CRES",103.817785,1.279599
"HDB Block 1A, TELOK PAKU RD",103.806668,1.31755
"HDB Block 1A, THOMSON RD",103.787272,1.3129794
"HDB Block 1A, TOH YI DR",103.775206,1.339168
"HDB Block 1B, CANTONMENT RD",103.8412344,1.2757638
"HDB Block 1C, CANTONMENT RD",103.8414964,1.2774176
"HDB Block 1D, CANTONMENT RD",103.8412344,1.2757638
"HDB Block 1E, CANTONMENT RD",103.8412344,1.2757638
"HDB Block 1F, CANTONMENT RD",103.8412344,1.2757638
"HDB Block 1G, CANTONMENT RD",103.8412344,1.2757638
"HDB Block 10, BENDEMEER RD",103.8661565,1.3229808
"HDB Block 10, CANTONMENT CL",103.8392779,1.2746539
"HDB Block 10, CHAI CHEE RD",103.9227585,1.3241556
"HDB Block 10, DAKOTA CRES",103.88494,1.306636
"HDB Block 10, EUNOS CRES",103.9026794,1.322314
"HDB Block 10, GLOUCESTER RD",103.8521876,1.3139435
"HDB Block 10, HAIG RD",103.8957046,1.3147464
"HDB Block 10, HOLLAND AVE",103.794362,1.307555
"HDB Block 10, JLN BATU",103.8829308,1.3021038
"HDB Block 10, JLN KUKOH",103.8390893,1.2869806
"HDB Block 10, JLN BT HO SWEE",103.8284429,1.287502
"HDB Block 10, JLN RUMAH TINGGI",103.808383,1.2882309
"HDB Block 10, JOO SENG RD",103.8802043,1.3346768
"HDB Block 10, LOR 7 TOA PAYOH",103.8572084,1.3371502
"HDB Block 10, MARSILING DR",103.7772082,1.4408157
"HDB Block 10, NTH BRIDGE RD",103.8637379,1.3053702
"HDB Block 10, PINE CL",103.882277,1.3091671
"HDB Block 10, SELEGIE RD",103.8634295,1.323761
