"name","lon","lat","category"
"Singapore Zoo",103.793023,1.4043485,"Tourist Attractions"
"Merlion Park",103.8545014,1.2867892,"Tourist Attractions"
"Jurong Bird Park ",103.7064417,1.3187065,"Tourist Attractions"
"Singapore Night Safari",103.7880606,1.4021872,"Tourist Attractions"
"Singapore Flyer",103.8631368,1.2892988,"Tourist Attractions"
"Duck Tour",103.857024,1.2941248,"Tourist Attractions"
"Singapore History Museum",103.8485095,1.2966147,"Tourist Attractions"
"Gardens by the Bay",103.8636132,1.2815683,"Tourist Attractions"
"Sentosa Island",103.8303209,1.2494041,"Tourist Attractions"
"Buddha Tooth Relic Temple and Museum",103.8442397,1.2815155,"Tourist Attractions"
"Thian Hock Keng Temple",103.8476295,1.2809351,"Tourist Attractions"
"St. Andrew's Cathedral",103.8522543,1.2923914,"Tourist Attractions"
"Sri Thendayuthapani Temple",103.843047,1.2943222,"Tourist Attractions"
"Helix Bridge",103.8605974,1.2876834,"Tourist Attractions"
"Yueh Hai Ching Temple (Temple of Love)",103.8492514,1.2846717,"Tourist Attractions"
"Peranakan Museum ",103.8490391,1.2943669,"Tourist Attractions"
"Istana",103.8430358,1.3039454,"Tourist Attractions"
"Malay Heritage Centre",103.8599265,1.3027993,"Tourist Attractions"
"Cathedral of the Good Shepherd",103.8512409,1.2960691,"Tourist Attractions"
"Temple of 1000 Lights Sakya Muni Buddha Gaya",103.8569444,1.3147222,"Tourist Attractions"
"River Safari",103.7906876,1.403186,"Tourist Attractions"
"Civilian War Memorial ",103.8546368,1.2932326,"Tourist Attractions"
"Red Dot Design Museum",103.8563051,1.2801563,"Tourist Attractions"
"Memories at Old Ford Factory",103.769295,1.352549,"Tourist Attractions"
"Flower dome ",103.8646975,1.2846292,"Tourist Attractions"
"Reflections at Bukit Chandu",103.794073,1.279187,"Tourist Attractions"
"Kuan Yin Thong Hood Cho Temple",103.8529981,1.3008609,"Tourist Attractions"
"Singapore Discovery Centre",103.6789432,1.3326904,"Tourist Attractions"
"Science Centre Singapore",103.7356443,1.3331687,"Tourist Attractions"
"Tiger Brewery",103.6479797,1.3365276,"Tourist Attractions"
"Raffles Landing Site",103.8507644,1.287706,"Tourist Attractions"
"Bollywood Veggies ",103.7168531,1.4183191,"Tourist Attractions"
"Singapore Philatelic Museum",103.8486632,1.2928284,"Tourist Attractions"
"Singapore Turf Club",103.7622666,1.4219327,"Tourist Attractions"
"Singapore Cricket Club",103.8520304,1.2888541,"Tourist Attractions"
"Marina Barrage ",103.8711747,1.2805282,"Tourist Attractions"
"Singapore Art Museum",103.8510615,1.2973072,"Tourist Attractions"
"Henderson Waves",103.8153941,1.2760208,"Tourist Attractions"
"Padang",103.8530438,1.2905564,"Tourist Attractions"
"Sri Mariamman Temple",103.8451462,1.2826867,"Tourist Attractions"
"Baba House",103.8373551,1.277235,"Tourist Attractions"
"Armenian Church",103.8492583,1.2931667,"Tourist Attractions"
"Urban Fairways",103.8476215,1.2777366,"Tourist Attractions"
"ArtScience Museum at Marina Bay Sands",103.8592663,1.2862738,"Tourist Attractions"
"Central Fire Station",103.8493042,1.292291,"Tourist Attractions"
"Singapore City Gallery",103.8452304,1.2796865,"Tourist Attractions"
"Kusu Island",103.8611194,1.2232435,"Tourist Attractions"
"Downtown East",103.9546233,1.3776279,"Tourist Attractions"
"Cavenagh Bridge",103.8523588,1.2865459,"Tourist Attractions"
"Sri Veeramakaliamman Temple ",103.8522188,1.3080029,"Tourist Attractions"
"Hort Park ",103.8018322,1.2787362,"Tourist Attractions"
"Labrador Park ",103.8033226,1.2659383,"Tourist Attractions"
"Haw Par Villa",103.7824933,1.2842878,"Tourist Attractions"
"Pasir Ris Park",103.9517213,1.3725402,"Tourist Attractions"
"Parkview Square",103.8577305,1.300164,"Tourist Attractions"
"Esplanade Park",103.8538653,1.289901,"Tourist Attractions"
"Chinese and Japanese Gardens",103.7311111,1.3352778,"Tourist Attractions"
"Fort Canning Park ",103.8466283,1.2938682,"Tourist Attractions"
"Mount Faber",103.8174964,1.2737864,"Tourist Attractions"
"Omni Theatre and Planetarium",103.7356733,1.3340889,"Tourist Attractions"
"Sultan Mosque",103.8589636,1.3022854,"Tourist Attractions"
"Jurong East Swimming Complex",103.7293471,1.3461702,"Tourist Attractions"
"Changi Chapel and Museum",103.97332,1.362294,"Tourist Attractions"
"S E A Aquarium",103.8204289,1.2582458,"Tourist Attractions"
"Kong Meng San Phor Kark See Temple ",103.835922,1.3611142,"Tourist Attractions"
"Sun Yat Sen Nanyang Memorial Hall ",103.8471167,1.3280736,"Tourist Attractions"
"Adventure Cove Waterpark ",103.8186627,1.2587902,"Tourist Attractions"
"Asian Civilisations Museum ",103.8513861,1.2874969,"Tourist Attractions"
"Yixing Xuan Teahouse ",103.8438256,1.27854,"Tourist Attractions"
"Clarke Quay",103.8464742,1.2906024,"Tourist Attractions"
"Wild Wild Wet ",103.9543429,1.3777748,"Tourist Attractions"
"Sri Srinivasa Perumal Temple ",103.8560729,1.3132706,"Tourist Attractions"
"Chijmes ",103.8521957,1.2951699,"Tourist Attractions"
"National Orchid Garden ",103.8162553,1.3152057,"Tourist Attractions"
"The Southern Ridges ",103.8029949,1.2801016,"Tourist Attractions"
"Marina Bay Sands Skypark ",103.8610725,1.2854347,"Tourist Attractions"
"City Hall ",103.851743,1.29068,"Tourist Attractions"
"Mint Museum of Toys ",103.8546329,1.2963208,"Tourist Attractions"
"Ode To Art Contemporary ",103.8537798,1.293672,"Tourist Attractions"
"Marina Bay Golf Course ",103.8713423,1.2930563,"Tourist Attractions"
"Bukit Timah Nature Reserve ",103.7769454,1.3540562,"Tourist Attractions"
"MacRitchie Nature Trail ",103.8348653,1.3419705,"Tourist Attractions"
"Kranji War Memorial ",103.7579339,1.4190231,"Tourist Attractions"
"Singapore Botanic Gardens ",103.8159136,1.3138397,"Tourist Attractions"
"Chinatown Heritage Centre ",103.844404,1.2834607,"Tourist Attractions"
"China Square Central",103.8474967,1.283775,"Tourist Attractions"
"Universal Studios",103.8238084,1.2540421,"Tourist Attractions"
"City Gate",103.8622714,1.3022965,"Condominiums"
"Martin Modern",103.8380955,1.2934572,"Condominiums"
"The Vales",103.8938701,1.3966179,"Condominiums"
"Wallich Residence At Tanjong Pagar Centre",103.8454598,1.2771773,"Condominiums"
"Corals At Keppel Bay",103.816962,1.265951,"Condominiums"
"Eco Sanctuary",103.7760801,1.3706763,"Condominiums"
"Leedon Residence",103.8019041,1.3141819,"Condominiums"
"D'Leedon",103.803616,1.3154317,"Condominiums"
"Reflections At Keppel Bay",103.8106976,1.2668201,"Condominiums"
"15 Holland Hill",103.80048,1.310617,"Condominiums"
"1953@Tessensohn",103.8576937,1.3166095,"Condominiums"
"33 RESIDENCES",103.836387,1.4274314,"Condominiums"
"35 Gilstead",103.8388018,1.3177352,"Condominiums"
"Affinity At Serangoon",103.8733947,1.3662314,"Condominiums"
"Amber Park",103.8995625,1.3002557,"Condominiums"
"Arena Residences",103.8807207,1.3094598,"Condominiums"
"Avenue South Residence",103.830159,1.2764824,"Condominiums"
"Boulevard 88",103.8277318,1.3045264,"Condominiums"
"Coastline Residences",103.899036,1.2990424,"Condominiums"
"Cuscaden Reserve",103.8245364,1.3040418,"Condominiums"
"Dairy Farm Residences",103.7686154,1.3638877,"Condominiums"
"Dalvey Haus",103.8249852,1.3159282,"Condominiums"
"Dunearn 386",103.8118,1.324529,"Condominiums"
"Forest Woods",103.8764545,1.3510383,"Condominiums"
"Forett@Bukit Timah",103.767626,1.340053,"Condominiums"
"Fourth Avenue Residences",103.797455,1.3299033,"Condominiums"
"Fyve Derbyshire",103.8457937,1.316306,"Condominiums"
"Infini at East Coast",103.9113477,1.3092354,"Condominiums"
"Jui Residences",103.866528,1.326262,"Condominiums"
"Juniper Hill",103.8325675,1.3163851,"Condominiums"
"Kent Ridge Hill Residences",103.7899429,1.281106,"Condominiums"
"Kopar At Newton",103.84123,1.3128446,"Condominiums"
"Lattice One",103.8282022,1.3729142,"Condominiums"
"Leedon Green",103.8022928,1.3145179,"Condominiums"
"Margaret Ville",103.8030285,1.2992636,"Condominiums"
"Mayfair Modern",103.7820122,1.3329234,"Condominiums"
"Meyer Mansion",103.8910501,1.2964336,"Condominiums"
"Meyerhouse",103.893862,1.298202,"Condominiums"
"Midtown Bay",103.8576523,1.297909,"Condominiums"
"Noma",103.847344,1.2804726,"Condominiums"
"Nyon",103.874459,1.3094459,"Condominiums"
"One Draycott",103.830757,1.310111,"Condominiums"
"One Holland Village Residences",103.7934423,1.3120655,"Condominiums"
"One Meyer",103.8862567,1.2981727,"Condominiums"
"One Pearl Bank",103.8399212,1.2830579,"Condominiums"
"Parc Canberra",103.8284861,1.4470816,"Condominiums"
"Parc Clematis",103.7597373,1.3159318,"Condominiums"
"Parc Esta",103.9016311,1.3185499,"Condominiums"
"Parksuites",103.7834407,1.3171071,"Condominiums"
"Penrose",103.8800178,1.3186422,"Condominiums"
"PETIT JERVOIS",103.823298,1.2929994,"Condominiums"
"Piermont Grand",103.8977163,1.4098552,"Condominiums"
"Pullman Residences Newton",103.8387243,1.3140738,"Condominiums"
"Riviere",103.8350032,1.2914187,"Condominiums"
"Royalgreen",103.7946047,1.3308745,"Condominiums"
"RV Altitude",103.8350918,1.2961256,"Condominiums"
"Seaside Residences",103.9278464,1.3076815,"Condominiums"
"Seraya Residences",103.900021,1.306441,"Condominiums"
"Sixteen35 Residences",103.8885694,1.3153138,"Condominiums"
"Sky Everton",103.8380991,1.2765553,"Condominiums"
"Sloane Residences",103.8326032,1.3153357,"Condominiums"
"The Antares",103.8917548,1.3334818,"Condominiums"
"The Avenir",103.8369703,1.2946029,"Condominiums"
"The Garden Residences",103.8705078,1.3666044,"Condominiums"
"The Gazania",103.879198,1.344881,"Condominiums"
"The Hyde",103.8308766,1.3143003,"Condominiums"
"The Lilium",103.8809981,1.345428,"Condominiums"
"The M",103.8560266,1.2973398,"Condominiums"
"The Tapestry",103.9289351,1.3533384,"Condominiums"
"The Verandah Residences",103.7852017,1.2795865,"Condominiums"
"Twin Vew",103.7522753,1.3197645,"Condominiums"
"Uptown @ Farrer",103.8555577,1.312709,"Condominiums"
"Urban Treasures",103.9058048,1.3295359,"Condominiums"
"Van Holland",103.795042,1.312466,"Condominiums"
"Verdale",103.7691906,1.3453747,"Condominiums"
"Verticus",103.8508373,1.3265405,"Condominiums"
"View at Kismis",103.7615931,1.3569664,"Condominiums"
"Whistler Grand",103.7513139,1.3165302,"Condominiums"
"Wilshire Residences",103.8045775,1.3128841,"Condominiums"
"The Linq @ Beauty World",103.7763447,1.3409604,"Condominiums"
"The Landmark",103.8578797,1.3023045,"Condominiums"
"Grange 1866",103.8290368,1.2997566,"Condominiums"
"Cairnhill 16",103.8379275,1.3085599,"Condominiums"
"Jervois Prive",103.8183393,1.2952068,"Condominiums"
"The Atelier",103.8416272,1.3127907,"Condominiums"
"Sunstone Hill",103.9091282,1.3260001,"Condominiums"
"10 Evelyn",103.8402834,1.3161038,"Condominiums"
"The Addition",103.8672118,1.3307749,"Condominiums"
"Amber 45",103.901821,1.302636,"Condominiums"
"Queens Peak",103.806878,1.2945024,"Condominiums"
"38 Jervois",103.822762,1.2941741,"Condominiums"
"Gem Residences",103.8510668,1.3394315,"Condominiums"
"Parc Riviera",103.7528387,1.3207162,"Condominiums"
